127.0.0.1 - - [18/May/2015:14:09:49 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/ HTTP/1.1" 200 1385
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/easyui/themes/default/easyui.css HTTP/1.1" 200 55580
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/easyui/themes/icon.css HTTP/1.1" 200 2874
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/css/login.css HTTP/1.1" 200 230
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/easyui/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/easyui/jquery.easyui.min.js HTTP/1.1" 200 365536
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/js/login.js HTTP/1.1" 200 1648
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
127.0.0.1 - - [18/May/2015:14:09:53 +0800] "GET /bpms/easyui/themes/icons/login.png HTTP/1.1" 200 355
127.0.0.1 - - [18/May/2015:14:10:36 +0800] "GET /bpms/ HTTP/1.1" 200 1385
127.0.0.1 - - [18/May/2015:14:10:36 +0800] "GET /bpms/easyui/themes/default/easyui.css HTTP/1.1" 200 55580
127.0.0.1 - - [18/May/2015:14:10:36 +0800] "GET /bpms/easyui/themes/icon.css HTTP/1.1" 200 2874
127.0.0.1 - - [18/May/2015:14:10:36 +0800] "GET /bpms/css/login.css HTTP/1.1" 200 230
127.0.0.1 - - [18/May/2015:14:10:36 +0800] "GET /bpms/easyui/jquery.min.js HTTP/1.1" 200 95786
127.0.0.1 - - [18/May/2015:14:10:36 +0800] "GET /bpms/easyui/jquery.easyui.min.js HTTP/1.1" 200 365536
127.0.0.1 - - [18/May/2015:14:10:36 +0800] "GET /bpms/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 200 2487
127.0.0.1 - - [18/May/2015:14:10:36 +0800] "GET /bpms/js/login.js HTTP/1.1" 200 1648
127.0.0.1 - - [18/May/2015:14:10:37 +0800] "GET /bpms/easyui/themes/default/images/blank.gif HTTP/1.1" 200 43
127.0.0.1 - - [18/May/2015:14:10:37 +0800] "GET /bpms/easyui/themes/icons/login.png HTTP/1.1" 200 355
127.0.0.1 - - [18/May/2015:14:10:37 +0800] "GET /favicon.ico HTTP/1.1" 404 973
127.0.0.1 - - [18/May/2015:14:25:26 +0800] "GET /bpms/easyui/themes/default/easyui.css HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2015:14:25:26 +0800] "GET /bpms/easyui/themes/icon.css HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2015:14:25:26 +0800] "GET /bpms/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2015:14:25:38 +0800] "GET /bpms HTTP/1.1" 302 -
127.0.0.1 - - [18/May/2015:14:25:38 +0800] "GET /bpms/ HTTP/1.1" 200 1385
127.0.0.1 - - [18/May/2015:14:25:38 +0800] "GET /bpms/easyui/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2015:14:25:38 +0800] "GET /bpms/easyui/jquery.easyui.min.js HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2015:14:25:38 +0800] "GET /bpms/easyui/locale/easyui-lang-zh_CN.js HTTP/1.1" 304 -
127.0.0.1 - - [18/May/2015:14:25:38 +0800] "GET /bpms/js/login.js HTTP/1.1" 304 -
