127.0.0.1 - - [01/Jun/2015:09:58:02 +0800] "GET / HTTP/1.1" 404 951
127.0.0.1 - - [01/Jun/2015:09:58:18 +0800] "GET /Test/test37.html HTTP/1.1" 200 13060
127.0.0.1 - - [01/Jun/2015:09:58:24 +0800] "GET /Test/test38.html HTTP/1.1" 200 1022
127.0.0.1 - - [01/Jun/2015:09:58:24 +0800] "GET /Test/js/canvas2d.js HTTP/1.1" 200 3141
127.0.0.1 - - [01/Jun/2015:09:58:24 +0800] "GET /Test/js/GuaGuaLe2.js HTTP/1.1" 200 2260
127.0.0.1 - - [01/Jun/2015:09:58:24 +0800] "GET /Test/js/jquery.min.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jun/2015:09:58:24 +0800] "GET /Test/s_bd.jpg HTTP/1.1" 404 977
127.0.0.1 - - [01/Jun/2015:09:58:24 +0800] "GET /Test/s_title.png HTTP/1.1" 404 983
127.0.0.1 - - [01/Jun/2015:09:59:41 +0800] "GET /Test/test38.html HTTP/1.1" 200 1056
127.0.0.1 - - [01/Jun/2015:09:59:41 +0800] "GET /Test/js/GuaGuaLe2.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jun/2015:09:59:41 +0800] "GET /Test/s_title.png HTTP/1.1" 404 983
127.0.0.1 - - [01/Jun/2015:10:00:01 +0800] "GET /Test/test38.html HTTP/1.1" 304 -
127.0.0.1 - - [01/Jun/2015:10:00:02 +0800] "GET /Test/s_title.png HTTP/1.1" 404 983
127.0.0.1 - - [01/Jun/2015:10:07:26 +0800] "GET /Test/test38.html HTTP/1.1" 200 4113
127.0.0.1 - - [01/Jun/2015:10:07:26 +0800] "GET /Test/js/canvas2d.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jun/2015:10:07:26 +0800] "GET /Test/js/GuaGuaLe2.js HTTP/1.1" 304 -
127.0.0.1 - - [01/Jun/2015:10:07:26 +0800] "GET /Test/s_title.png HTTP/1.1" 404 983
